标题： 生活大爆炸：复仇者把拉杰召唤走了，不用担心，他带着锤子走的 	 链接：http://tieba.baidu.com//p/5914866452 	 发帖人：白鸽泉水y 	 发帖时间：10-15 	 回复数量： 2 
标题： 12季啦，一直在追，从初一看到大一，带给我太多能量和欢乐啦 	 链接：http://tieba.baidu.com//p/5930419325 	 发帖人：KUN 	 发帖时间：10-29 	 回复数量： 3 
标题： 生活大爆炸最终季最新预告片 	 链接：http://tieba.baidu.com//p/5869852458 	 发帖人：AG美剧 	 发帖时间：9-6 	 回复数量： 2 
标题： 关于生活大爆炸各位主演的友谊向剪辑，分享给大家 	 链接：http://tieba.baidu.com//p/5929861985 	 发帖人：孙鹤1193 	 发帖时间：10-28 	 回复数量： 2 
标题： 这段感觉真搞笑 	 链接：http://tieba.baidu.com//p/5906091537 	 发帖人：偷菜的小... 	 发帖时间：10-7 	 回复数量： 6 
标题： 有没有人知道生活大爆炸正版蓝光碟的渠道？ 	 链接：http://tieba.baidu.com//p/5931524397 	 发帖人：Usock5 	 发帖时间：10-30 	 回复数量： 1 
标题： 这个是不是《生活大爆炸》在中国被禁播的原因？第七季第6集 	 链接：http://tieba.baidu.com//p/3751019582 	 发帖人：小溪啾啾 	 发帖时间：2015-05 	 回复数量： 16 
标题： 开个新帖，从今天起，更新爆炸主创们的ins 	 链接：http://tieba.baidu.com//p/5544333608 	 发帖人：宇智波谢... 	 发帖时间：2-7 	 回复数量： 147 
标题： 《生活大爆炸》S10：最好的爱情，就是让人情不自禁（多图长文！ 	 链接：http://tieba.baidu.com//p/5114890595 	 发帖人：opllx的影子 	 发帖时间：2017-05 	 回复数量： 47 
标题： 霍金送sheldo新婚礼物彩蛋 	 链接：http://tieba.baidu.com//p/5895040838 	 发帖人：冷封骨髓 	 发帖时间：9-27 	 回复数量： 5 
标题： 盘点生活大爆炸中有关中国的所有事情~ 	 链接：http://tieba.baidu.com//p/2543703725 	 发帖人：墨水的印子 	 发帖时间：2013-12 	 回复数量： 577 
标题： 【TBBT】常更楼，主创的ins 	 链接：http://tieba.baidu.com//p/5753114397 	 发帖人：宇智波谢... 	 发帖时间：6-18 	 回复数量： 42 
标题： 第一季里的两中国人 	 链接：http://tieba.baidu.com//p/4949706146 	 发帖人：黑足山治 	 发帖时间：2017-01 	 回复数量： 90 
标题： S08E18这集，显示了谢尔顿极为卑劣的一面，无可抵赖（含剧透） 	 链接：http://tieba.baidu.com//p/3633778146 	 发帖人：天路织锦 	 发帖时间：2015-03 	 回复数量： 313 
标题： 《生活大爆炸》这段耳朵太可爱了，哈哈哈哈哈哈 	 链接：http://tieba.baidu.com//p/5861551568 	 发帖人：站站 	 发帖时间：8-30 	 回复数量： 6 
标题： 有点不是很喜欢艾米这个人 	 链接：http://tieba.baidu.com//p/5131449464 	 发帖人：你造吗我... 	 发帖时间：2017-05 	 回复数量： 24 
标题： 请问penny这毛衣什么牌子的呀？ 	 链接：http://tieba.baidu.com//p/5917067731 	 发帖人：Dm汐 	 发帖时间：10-17 	 回复数量： 2 
标题： 生活大爆炸：莱纳德打电话的时间不对，霍华德跟***对话太逗了 	 链接：http://tieba.baidu.com//p/5916896950 	 发帖人：白鸽泉水y 	 发帖时间：10-17 	 回复数量： 3 
标题： 哪位大佬有高清图呀，想拿来当壁纸和定制手机壳 	 链接：http://tieba.baidu.com//p/5930446979 	 发帖人：RED哥唔系校长 	 发帖时间：10-29 	 回复数量： 0 
标题： 南京擎安医院让我们的三高不再是麻烦 	 链接：http://tieba.baidu.com//p/5930437736 	 发帖人：七月吕吕 	 发帖时间：10-29 	 回复数量： 0 
标题： 我念念不忘的ALEX怎么就再也不出现了呢 	 链接：http://tieba.baidu.com//p/5017808366 	 发帖人：夜色小路L... 	 发帖时间：2017-03 	 回复数量： 21 
标题： S12E06 penny的衬衣牌子有人知道嘛？ 	 链接：http://tieba.baidu.com//p/5930421872 	 发帖人：ihaihr 	 发帖时间：10-29 	 回复数量： 0 
标题： 熊猫TV37801 生活大爆炸联播 	 链接：http://tieba.baidu.com//p/5930326086 	 发帖人：潮牌小仙... 	 发帖时间：10-29 	 回复数量： 0 
标题： 看了S13E6就能明白为什么西蒙扭不过吉姆 	 链接：http://tieba.baidu.com//p/5929961370 	 发帖人：看在遇后 	 发帖时间：10-29 	 回复数量： 1 
标题： 【TBBT】生活大爆炸吧2018吧务招募贴 	 链接：http://tieba.baidu.com//p/5545392306 	 发帖人：玺子 	 发帖时间：2-8 	 回复数量： 24 
标题： penny当伴娘的这身裙子挺好看的 	 链接：http://tieba.baidu.com//p/5929865695 	 发帖人：redhay 	 发帖时间：10-28 	 回复数量： 0 
标题： 生活大爆炸11季第24集不能被忽视的情节，短短40秒贯穿全剧 	 链接：http://tieba.baidu.com//p/5744559489 	 发帖人：琥珀白 	 发帖时间：6-13 	 回复数量： 31 
标题： 其实挺喜欢霍华德的！ 	 链接：http://tieba.baidu.com//p/5929612124 	 发帖人：冰凝梦萧 	 发帖时间：10-28 	 回复数量： 0 
标题： ［短句：原因及简，此生为你✿］ 	 链接：http://tieba.baidu.com//p/5927851085 	 发帖人：492530369 	 发帖时间：10-27 	 回复数量： 6 
标题： 有能在青浦城区办餐饮类执照的么？做麻辣烫的，热食类食品制售。 	 链接：http://tieba.baidu.com//p/5936614027 	 发帖人：又见了山... 	 发帖时间：08:22 	 回复数量： 0 
标题： 特别🍷🍷🍷🍷食品经营许可证，酒类批发许可证 	 链接：http://tieba.baidu.com//p/5741222229 	 发帖人：疑难注册... 	 发帖时间：6-11 	 回复数量： 1 
标题： 加盟共赢，食品经营许可证交给我 	 链接：http://tieba.baidu.com//p/5838153705 	 发帖人：浪淘沙... 	 发帖时间：8-13 	 回复数量： 2 
标题： 餐饮开店交流群，有想法进来探讨路子 	 链接：http://tieba.baidu.com//p/5702118996 	 发帖人：吧啦吧啦... 	 发帖时间：5-16 	 回复数量： 67 
标题： 开餐饮店，注册餐饮服务有限公司，不懂怎么办理食品经营许可证的可 	 链接：http://tieba.baidu.com//p/5870450203 	 发帖人：Wu吴不懂 	 发帖时间：9-6 	 回复数量： 6 
标题： 餐饮创业交流群，还在筹备中的小伙伴过来交流下 	 链接：http://tieba.baidu.com//p/5886162468 	 发帖人：9534657 	 发帖时间：9-19 	 回复数量： 6 
标题： 餐饮行业交流群 	 链接：http://tieba.baidu.com//p/5866771798 	 发帖人：放羊的大... 	 发帖时间：9-3 	 回复数量： 42 
标题： 问下，6串3胜负平，，谢谢回答 	 链接：http://tieba.baidu.com//p/5836916605 	 发帖人：cvsvbdfsg 	 发帖时间：8-12 	 回复数量： 42 
标题： 餐饮美食微信的交流群 	 链接：http://tieba.baidu.com//p/5858458304 	 发帖人：一粥一饭 	 发帖时间：8-28 	 回复数量： 47 
标题： 樱花绽放，梦即盛开，我的日语学习贴 	 链接：http://tieba.baidu.com//p/5925617061 	 发帖人：看海不看... 	 发帖时间：10-25 	 回复数量： 1 
标题： 餐饮行业交流群 	 链接：http://tieba.baidu.com//p/5316289528 	 发帖人：俯视看世... 	 发帖时间：2017-09 	 回复数量： 297 
标题： 上海特色菜空白市场 有没有一起推广特色菜的朋友 本人95后 	 链接：http://tieba.baidu.com//p/5934975024 	 发帖人：创业者 	 发帖时间：11-2 	 回复数量： 1 
标题： 上海餐饮交流群，下面留微信。 	 链接：http://tieba.baidu.com//p/5853714452 	 发帖人：Dabaoo1234 	 发帖时间：8-24 	 回复数量： 58 
标题： 和餐饮打交道8年了，建了一个餐饮群，想进的可留下微信号， 	 链接：http://tieba.baidu.com//p/5619165724 	 发帖人：王艳萍王... 	 发帖时间：3-27 	 回复数量： 113 
标题： 百人餐饮群，在上海的可以交流一下，留VX我拉你。 	 链接：http://tieba.baidu.com//p/5757745004 	 发帖人：候鸟迁徙1... 	 发帖时间：6-20 	 回复数量： 133 
标题： 餐饮交流群！资源共享 	 链接：http://tieba.baidu.com//p/5917427983 	 发帖人：梁记老坛... 	 发帖时间：10-17 	 回复数量： 5 
标题： 餐饮交流群，一起学习交流，我拉你 	 链接：http://tieba.baidu.com//p/5793334190 	 发帖人：困惑丨 	 发帖时间：7-13 	 回复数量： 129 
标题： 日韩快餐招聘（上海浦东）非中介 	 链接：http://tieba.baidu.com//p/4118815374 	 发帖人：dannytang7 	 发帖时间：2015-10 	 回复数量： 3 
标题： 想在上海开餐厅, 有没有好的餐饮策划公司介绍？ 	 链接：http://tieba.baidu.com//p/5593841797 	 发帖人：sasakiac12 	 发帖时间：3-13 	 回复数量： 20 
标题： 上海餐饮交流群，有想要加入交流的留下微信号 	 链接：http://tieba.baidu.com//p/5931501672 	 发帖人：Iparadoxes 	 发帖时间：10-30 	 回复数量： 5 
标题： 请问关于定额/，手撕/，餐饮/，住宿/，设备/ 咨询/普通机 	 链接：http://tieba.baidu.com//p/5934762346 	 发帖人：吔嶶406066628 	 发帖时间：11-2 	 回复数量： 0 
标题： 我家餐饮刚开业，有什么比较好的推广方式吗？ 	 链接：http://tieba.baidu.com//p/5914309494 	 发帖人：人可书画 	 发帖时间：10-15 	 回复数量： 11 
标题： 哪有卖松宜牌的汤面桶啊 	 链接：http://tieba.baidu.com//p/5934657645 	 发帖人：爱明朙 	 发帖时间：11-2 	 回复数量： 1 
标题： 小程序+餐饮，能帮商城解决哪些痛点？ 	 链接：http://tieba.baidu.com//p/5932662450 	 发帖人：平辉科技 	 发帖时间：10-31 	 回复数量： 4 
标题： 鹿角巷奶茶那么多人喜欢喝？ 	 链接：http://tieba.baidu.com//p/5691040542 	 发帖人：jieshw 	 发帖时间：5-9 	 回复数量： 9 
标题： 华旭正联 小花小甲花甲粉 	 链接：http://tieba.baidu.com//p/5904496065 	 发帖人：天下美食... 	 发帖时间：10-6 	 回复数量： 1 
标题： 巴沙酸菜鱼片，免浆的 	 链接：http://tieba.baidu.com//p/5933611712 	 发帖人：叫我杨_老板 	 发帖时间：11-1 	 回复数量： 0 
标题： 上海内环找个重餐饮铺子，位置稍微好点。，面积150左右，单价 	 链接：http://tieba.baidu.com//p/5892186545 	 发帖人：Sevan33 	 发帖时间：9-24 	 回复数量： 2 
标题： 寻找快餐合伙人， 	 链接：http://tieba.baidu.com//p/5139940719 	 发帖人：拉卡拉 	 发帖时间：2017-05 	 回复数量： 21 
标题： 肉蟹煲 	 链接：http://tieba.baidu.com//p/5878349356 	 发帖人：东方神厨 	 发帖时间：9-13 	 回复数量： 1 
标题： 九六广场边 美食城档口 	 链接：http://tieba.baidu.com//p/5893994858 	 发帖人：人民银行... 	 发帖时间：9-26 	 回复数量： 1 
标题： 现有店铺寻求合作伙伴 	 链接：http://tieba.baidu.com//p/5207337052 	 发帖人：居氏love 	 发帖时间：2017-07 	 回复数量： 21 
标题： 请求餐饮食品类开票 	 链接：http://tieba.baidu.com//p/5830988755 	 发帖人：7879888的 	 发帖时间：8-8 	 回复数量： 10 
标题： 有用到票的吧友吗？关于住宿.餐饮.工程材料.设计.耗材.定额 	 链接：http://tieba.baidu.com//p/5915863674 	 发帖人：微独406066628 	 发帖时间：10-16 	 回复数量： 1 
标题： 在小县城学校边上加盟了鸡排遇见茶，还没装修 	 链接：http://tieba.baidu.com//p/5927706405 	 发帖人：程含苞待放 	 发帖时间：10-26 	 回复数量： 2 
标题： 自然生长四座楼狮子头 	 链接：http://tieba.baidu.com//p/5927438145 	 发帖人：墙体彩绘 	 发帖时间：10-26 	 回复数量： 0 
标题： 微信交流群——做了一个上海淮南牛肉汤等小吃微信交流群，想要入 	 链接：http://tieba.baidu.com//p/5908807971 	 发帖人：风清扬剑... 	 发帖时间：10-10 	 回复数量： 3 
标题： AORI神隐拉面加盟好不好？AORI神隐拉面怎么样？ 	 链接：http://tieba.baidu.com//p/5922641091 	 发帖人：被重物 	 发帖时间：10-22 	 回复数量： 0 
标题： 这样会不会更漂亮。 	 链接：http://tieba.baidu.com//p/5922352413 	 发帖人：墙体彩绘 	 发帖时间：10-22 	 回复数量： 0 
标题： 上海地区，生鲜分割猪肉配送可以聊一聊哦 	 链接：http://tieba.baidu.com//p/5921649658 	 发帖人：利群快客 	 发帖时间：10-21 	 回复数量： 1 
标题： 和餐饮打交道8年了，想进 的留下微信 	 链接：http://tieba.baidu.com//p/5619168906 	 发帖人：王艳萍王... 	 发帖时间：3-27 	 回复数量： 29 
标题： 请问哪里有上海的厨师微信群，餐饮微信群呢？ 	 链接：http://tieba.baidu.com//p/5905505878 	 发帖人：粤北土特... 	 发帖时间：10-7 	 回复数量： 1 
标题： 办不了食品经营许可证，想上美团怎么办？ 	 链接：http://tieba.baidu.com//p/5871228600 	 发帖人：代上外卖... 	 发帖时间：9-7 	 回复数量： 13 
标题： 【鹿角巷加盟】新一代网红奶茶，实力与颜值并存 	 链接：http://tieba.baidu.com//p/5696948090 	 发帖人：mlt5d2jr6zh 	 发帖时间：5-13 	 回复数量： 146 
标题： 有没有需要生鲜猪肉产品的？ 	 链接：http://tieba.baidu.com//p/5917498001 	 发帖人：利群快客 	 发帖时间：10-18 	 回复数量： 0 
标题： 结交餐饮吧友 本人花3000元买的烤鱼配方 愿意分享！ 	 链接：http://tieba.baidu.com//p/5884948700 	 发帖人：道法自... 	 发帖时间：9-18 	 回复数量： 1 
标题： 有没有想要加盟餐饮的小伙伴？没有我待会再来问问 	 链接：http://tieba.baidu.com//p/5829591201 	 发帖人：祈丿天赐... 	 发帖时间：8-7 	 回复数量： 6 
标题： 澳洲加拿大谷饲安格斯 	 链接：http://tieba.baidu.com//p/5915738580 	 发帖人：啊毅啊 	 发帖时间：10-16 	 回复数量： 0 
标题： 【叹老鸡煲加盟】实力与颜值并存 	 链接：http://tieba.baidu.com//p/5829638985 	 发帖人：luanjingikx76 	 发帖时间：8-7 	 回复数量： 11 
标题： 正宗成都串串底料，可开店可家用。开店还免费教授腌肉等技术 	 链接：http://tieba.baidu.com//p/5886159486 	 发帖人：川A拖拉机 	 发帖时间：9-19 	 回复数量： 1 
标题： 谷饲安格斯牛肉 	 链接：http://tieba.baidu.com//p/5914269699 	 发帖人：啊毅啊 	 发帖时间：10-15 	 回复数量： 2 
标题： 海鲜火锅店，有没有想法的。 	 链接：http://tieba.baidu.com//p/5913211635 	 发帖人：郭梓豪啊 	 发帖时间：10-14 	 回复数量： 1 
标题： 建了个微信 群，有打算开火锅店的朋友吗？ 	 链接：http://tieba.baidu.com//p/5473261326 	 发帖人：阿四打撒 	 发帖时间：2017-12 	 回复数量： 78 
标题： 上海冰激淋甜品店招全职兼职 	 链接：http://tieba.baidu.com//p/4896574787 	 发帖人：安郡安邦 	 发帖时间：2016-12 	 回复数量： 0 
标题： 其茶记itstea奶茶加盟费是多少？itstea【官网】是哪个 	 链接：http://tieba.baidu.com//p/5838698652 	 发帖人：ldhuaping 	 发帖时间：8-13 	 回复数量： 37 
标题： 焕然逸欣 享受大自然 	 链接：http://tieba.baidu.com//p/5911005973 	 发帖人：焕然逸欣 	 发帖时间：10-12 	 回复数量： 0 
标题： 餐饮住宿 通讯 定额 装饰 建材 材料 会务 广告等增值普通票 	 链接：http://tieba.baidu.com//p/5827464133 	 发帖人：加微150210412 	 发帖时间：8-6 	 回复数量： 1 
标题： 美食城档口转让 	 链接：http://tieba.baidu.com//p/5894859067 	 发帖人：bian27773994 	 发帖时间：9-27 	 回复数量： 2 
标题： 在上海虹桥商务区有个店，想找有三年以上的餐饮工作人员，一起合 	 链接：http://tieba.baidu.com//p/5643676137 	 发帖人：滋味一品 	 发帖时间：4-11 	 回复数量： 22 
标题： 有用到发票的吧友吗？关于住宿.餐饮.工程材料.设计.耗材.定 	 链接：http://tieba.baidu.com//p/5839771650 	 发帖人：嶶咨406066628 	 发帖时间：8-14 	 回复数量： 2 
标题： 上海万德福餐饮种类齐全，前景一片明朗 	 链接：http://tieba.baidu.com//p/5884527144 	 发帖人：好外甥打... 	 发帖时间：9-18 	 回复数量： 1 
标题： 各位做餐饮的朋友，有谁有餐饮交流群， 	 链接：http://tieba.baidu.com//p/5903155107 	 发帖人：狂奔的蜗... 	 发帖时间：10-4 	 回复数量： 2 
